Nazwa;Ticker;Kurs;Zmiana;Zmiana %;Wpływ na indeks;Udział w obrocie;Pakiet;Udział w portfelu
PKOBP;PKO;84.36;0.62;0.0074;0.000798;0.095026;729799000;0.1078
PKNORLEN;PKN;92.9;0.55;0.006;0.000563;0.084956;581631000;0.0946
PZU;PZU;67.96;01.sty;0.0165;0.001112;0.055719;568305000;0.0676
PEKAO;PEO;208.3;03.mar;0.0161;0.001035;0.060809;176379000;0.0643
KGHM;KGH;260.8;04.maj;0.0176;0.001094;0.051345;136410000;0.0623
LPP;LPP;20970;-210;-0.0099;-0.000465;0.035171;1277000;0.0469
ALLEGRO;ALE;30.855;0.32;0.0105;0.00045;0.08191;795575000;0.043
SANPL;SPL;535;14.cze;0.0281;0.001109;0.028463;42205000;0.0395
DINOPL;DNP;40.78;-0.01;-0.0002;-0.000008;0.05386;478800000;0.0342
CDPROJEKT;CDR;244.3;01.cze;0.0066;0.000198;0.033855;70412000;0.0301
MBANK;MBK;1040.5;17;0.0166;0.000398;0.022977;13172000;0.024
ASSECOPOL;ACP;218.2;-1;-0.0046;-0.00009;0.009669;51581000;0.0197
INGBSK;ING;338.5;04.maj;0.0135;0.00026;0.019699;32525000;0.0193
MILLENNIUM;MIL;16.47;0.38;0.0236;0.000412;0.009305;605345000;0.0175
ALIOR;ALR;111.05;02.maj;0.023;0.000398;0.022828;88895000;0.0173
BENEFIT;BFT;3420;-20;-0.0058;-0.000099;0.006512;2834000;0.017
ZABKA;ZAB;23.lut;-0.13;-0.0056;-0.000096;0.014278;422210000;0.017
TAURONPE;TPE;8.776;0.11;0.0127;0.000204;0.009421;1043590000;0.016
KETY;KTY;895;-1;-0.0011;-0.000017;0.010051;9822000;0.0154
KRUK;KRU;483;03.mar;0.0069;0.000103;0.013813;17685000;0.015
BUDIMEX;BDX;651.2;06.kwi;0.0099;0.000144;0.010756;12728000;0.0145
PGE;PGE;sie.64;-0.036;-0.0041;-0.000054;0.014028;859413000;0.013
CCC;CCC;122.35;lut.35;0.0196;0.000215;0.029183;51384000;0.011
ORANGEPL;OPL;9.642;-0.046;-0.0047;-0.000052;0.003407;647357000;0.0109
XTB;XTB;69.72;0.32;0.0046;0.000043;0.006493;75501000;0.0092
INTERCARS;CAR;540;2;0.0037;0.000032;0.013793;9184000;0.0087
ENEA;ENA;19.32;0.11;0.0057;0.000049;0.006276;252715000;0.0085
PEPCO;PCO;28.mar;-0.01;-0.0004;-0.000003;0.020926;161857000;0.008
DEVELIA;DVL;08.maj;0.26;0.0316;0.000217;0.001501;463336000;0.0069
BNPPPL;BNP;129;5;0.0403;0.000253;0.013638;27756000;0.0063
HANDLOWY;BHW;101.4;0.6;0.006;0.000034;0.003307;32664000;0.0058
DIAG;DIA;168.95;mar.95;0.0239;0.000126;0.00344;17825000;0.0053
